Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
sweden, Uruguay,3.0,0.0,NO,Edström,46,Home Win,1974-06-23,16:00:00,Rheinstadion,Düsseldorf,283000.0,Erich Linemayr,Austria
sweden, Uruguay,3.0,0.0,NO,Sandberg,74,Home Win,1974-06-23,16:00:00,Rheinstadion,Düsseldorf,283000.0,Erich Linemayr,Austria
italy, Haiti,3.0,1.0,NO,Rivera,52,Home Win,1974-06-15,18:00:00,Olympiastadion,Munich,530000.0,Vicente Llobregat,Venezuela
italy, Haiti,3.0,1.0,NO,Benetti,66,Home Win,1974-06-15,18:00:00,Olympiastadion,Munich,530000.0,Vicente Llobregat,Venezuela
italy, Haiti,3.0,1.0,NO,Anastasi,79,Home Win,1974-06-15,18:00:00,Olympiastadion,Munich,530000.0,Vicente Llobregat,Venezuela
italy, Haiti,3.0,1.0,NO,Sanon,46,Home Win,1974-06-15,18:00:00,Olympiastadion,Munich,530000.0,Vicente Llobregat,Venezuela
poland, Argentina,3.0,2.0,NO,Lato,7,Home Win,1974-06-15,18:00:00,Neckarstadion,Stuttgart,327000.0,Clive Thomas,Wales
poland, Argentina,3.0,2.0,NO,Szarmach,8,Home Win,1974-06-15,18:00:00,Neckarstadion,Stuttgart,327000.0,Clive Thomas,Wales
poland, Argentina,3.0,2.0,NO,Heredia,60,Home Win,1974-06-15,18:00:00,Neckarstadion,Stuttgart,327000.0,Clive Thomas,Wales
poland, Argentina,3.0,2.0,NO,Babington,66,Home Win,1974-06-15,18:00:00,Neckarstadion,Stuttgart,327000.0,Clive Thomas,Wales
argentina, Italy,1.0,1.0,NO,Houseman,20,Draw,1974-06-19,19:30:00,Neckarstadion,Stuttgart,701000.0,Pavel Kazakov,Soviet Union
argentina, Italy,1.0,1.0,NO,Perfumo,35,Draw,1974-06-19,19:30:00,Neckarstadion,Stuttgart,701000.0,Pavel Kazakov,Soviet Union
haiti, Poland,0.0,7.0,NO,Lato,17,Away Win,1974-06-19,19:30:00,Olympiastadion,Munich,253000.0,Govindasamy Suppiah,Singapore
haiti, Poland,0.0,7.0,NO,Deyna,18,Away Win,1974-06-19,19:30:00,Olympiastadion,Munich,253000.0,Govindasamy Suppiah,Singapore
haiti, Poland,0.0,7.0,NO,Szarmach,30,Away Win,1974-06-19,19:30:00,Olympiastadion,Munich,253000.0,Govindasamy Suppiah,Singapore
haiti, Poland,0.0,7.0,NO,Gorgoń,31,Away Win,1974-06-19,19:30:00,Olympiastadion,Munich,253000.0,Govindasamy Suppiah,Singapore
argentina, Haiti,4.0,1.0,NO,Yazalde,15,Home Win,1974-06-23,16:00:00,Olympiastadion,Munich,259000.0,Pablo Sánchez Ibáñez,Spain
