Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City,First_Team_Goals,Second_Team_Goals,Tournament_Stage
italy, Austria,2.0,1.0,NO,R. Baggio,90,Home Win,1998-06-23,16:00:00,Stade de France,Saint-Denis,800000.0,Paul Durkin,England,Vieri  48'; R. Baggio  90',Herzog  90+2' (pen.); pen.,Group Stage
italy, Austria,2.0,1.0,NO,Herzog,90,Home Win,1998-06-23,16:00:00,Stade de France,Saint-Denis,800000.0,Paul Durkin,England,Vieri  48'; R. Baggio  90',Herzog  90+2' (pen.); pen.,Group Stage
chile, Cameroon,1.0,1.0,NO,Sierra,20,Draw,1998-06-23,16:00:00,Stade de la Beaujoire,Nantes,355000.0,László Vágner,Hungary,Sierra  20',Mboma  56',Group Stage
chile, Cameroon,1.0,1.0,NO,Mboma,56,Draw,1998-06-23,16:00:00,Stade de la Beaujoire,Nantes,355000.0,László Vágner,Hungary,Sierra  20',Mboma  56',Group Stage
saudi arabia, Denmark,0.0,1.0,NO,Rieper,69,Away Win,1998-06-12,17:30:00,Stade Félix Bollaert,Lens,381000.0,Javier Castrilli,Argentina,0,Rieper  69',Group Stage
france, South Africa,3.0,0.0,NO,Dugarry,36,Home Win,1998-06-12,21:00:00,Stade Vélodrome,Marseille,550000.0,Márcio Rezende de Freitas,Brazil,Dugarry  36'; Issa  77' (o.g.); o.g.  90+2'; Henry,0,Group Stage
france, South Africa,3.0,0.0,NO,Issa,77,Home Win,1998-06-12,21:00:00,Stade Vélodrome,Marseille,550000.0,Márcio Rezende de Freitas,Brazil,Dugarry  36'; Issa  77' (o.g.); o.g.  90+2'; Henry,0,Group Stage
france, South Africa,3.0,0.0,NO,o.g.,90,Home Win,1998-06-12,21:00:00,Stade Vélodrome,Marseille,550000.0,Márcio Rezende de Freitas,Brazil,Dugarry  36'; Issa  77' (o.g.); o.g.  90+2'; Henry,0,Group Stage
south africa, Denmark,1.0,1.0,NO,McCarthy,51,Draw,1998-06-18,17:30:00,Stade de Toulouse,Toulouse,335000.0,John Toro Rendón,Colombia,McCarthy  51',A. Nielsen  12',Group Stage
south africa, Denmark,1.0,1.0,NO,A. Nielsen,12,Draw,1998-06-18,17:30:00,Stade de Toulouse,Toulouse,335000.0,John Toro Rendón,Colombia,McCarthy  51',A. Nielsen  12',Group Stage
france, Saudi Arabia,4.0,0.0,NO,Henry,37,Home Win,1998-06-18,21:00:00,Stade de France,Saint-Denis,800000.0,Arturo Brizio Carter,Mexico,"Henry  37', 78'; Trezeguet  68'; Lizarazu  85'",0,Group Stage
france, Saudi Arabia,4.0,0.0,NO,Trezeguet,68,Home Win,1998-06-18,21:00:00,Stade de France,Saint-Denis,800000.0,Arturo Brizio Carter,Mexico,"Henry  37', 78'; Trezeguet  68'; Lizarazu  85'",0,Group Stage
france, Saudi Arabia,4.0,0.0,NO,Lizarazu,85,Home Win,1998-06-18,21:00:00,Stade de France,Saint-Denis,800000.0,Arturo Brizio Carter,Mexico,"Henry  37', 78'; Trezeguet  68'; Lizarazu  85'",0,Group Stage
france, Denmark,2.0,1.0,NO,Djorkaeff,12,Home Win,1998-06-24,16:00:00,Stade Gerland,Lyon,391000.0,Pierluigi Collina,Italy,Djorkaeff  12' (pen.); pen.  56'; Petit,M. Laudrup  42' (pen.); pen.,Group Stage
france, Denmark,2.0,1.0,NO,petit,56,Home Win,1998-06-24,16:00:00,Stade Gerland,Lyon,391000.0,Pierluigi Collina,Italy,Djorkaeff  12' (pen.); pen.  56'; Petit,M. Laudrup  42' (pen.); pen.,Group Stage
france, Denmark,2.0,1.0,NO,M. Laudrup,42,Home Win,1998-06-24,16:00:00,Stade Gerland,Lyon,391000.0,Pierluigi Collina,Italy,Djorkaeff  12' (pen.); pen.  56'; Petit,M. Laudrup  42' (pen.); pen.,Group Stage
south africa, Saudi Arabia,2.0,2.0,NO,Bartlett,18,Draw,1998-06-24,16:00:00,Parc Lescure,Bordeaux,318000.0,Mario Sánchez,Chile,"Bartlett  18', 90+3' (pen.); pen.",Al-Jaber  45+2' (pen.); pen.  74' (pen.); Al-Thunayan ; pen.,Group Stage
south africa, Saudi Arabia,2.0,2.0,NO,Al-Jaber,45,Draw,1998-06-24,16:00:00,Parc Lescure,Bordeaux,318000.0,Mario Sánchez,Chile,"Bartlett  18', 90+3' (pen.); pen.",Al-Jaber  45+2' (pen.); pen.  74' (pen.); Al-Thunayan ; pen.,Group Stage
south africa, Saudi Arabia,2.0,2.0,NO,al-thunayan,74,Draw,1998-06-24,16:00:00,Parc Lescure,Bordeaux,318000.0,Mario Sánchez,Chile,"Bartlett  18', 90+3' (pen.); pen.",Al-Jaber  45+2' (pen.); pen.  74' (pen.); Al-Thunayan ; pen.,Group Stage
paraguay, Bulgaria,0.0,0.0,NO,No_Goal_Scorer,No_Goal_Scorer,Draw,1998-06-12,14:30:00,Stade de la Mosson,Montpellier,298000.0,Abdul Rahman Al-Zeid,Saudi Arabia,0,0,Group Stage
spain, Nigeria,2.0,3.0,NO,Hierro,21,Away Win,1998-06-13,14:30:00,Stade de la Beaujoire,Nantes,355000.0,Esfandiar Baharmast,United States,Hierro  21'; Raúl  47',Adepoju  24'; Zubizarreta  73' (o.g.); o.g.  78'; Oliseh,Group Stage
spain, Nigeria,2.0,3.0,NO,Raúl,47,Away Win,1998-06-13,14:30:00,Stade de la Beaujoire,Nantes,355000.0,Esfandiar Baharmast,United States,Hierro  21'; Raúl  47',Adepoju  24'; Zubizarreta  73' (o.g.); o.g.  78'; Oliseh,Group Stage
