Home_Team,Score,Away_Team,Penalties,First_Team_Goals,Second_Team_Goals,Date,Time,Stadium,City,Attendance,Referee,Referee_City,Player_Name,Goal_Time,Home_Score,Away_Score,Outcome
romania,1–4,  Switzerland,NO,Hagi  35',"Sutter  16'; Chapuisat  52'; Knup  65', 72'",1994-06-22,,Pontiac Silverdome,Pontiac,614280.0,Neji Jouini,Tunisia,Knup,65,1.0,4.0,Away Win
united states,2–1, Colombia,NO,Escobar  35' (o.g.); o.g.  52'; Stewart,Valencia  90',1994-06-22,,Rose Bowl,Pasadena,938690.0,Fabio Baldas,Italy,Escobar,35,2.0,1.0,Home Win
united states,2–1, Colombia,NO,Escobar  35' (o.g.); o.g.  52'; Stewart,Valencia  90',1994-06-22,,Rose Bowl,Pasadena,938690.0,Fabio Baldas,Italy,o.g.,52,2.0,1.0,Home Win
united states,2–1, Colombia,NO,Escobar  35' (o.g.); o.g.  52'; Stewart,Valencia  90',1994-06-22,,Rose Bowl,Pasadena,938690.0,Fabio Baldas,Italy,Valencia,90,2.0,1.0,Home Win
switzerland,0–2, Colombia,NO,0,Gaviria  44'; Lozano  90',1994-06-26,,Stanford Stadium,Stanford,834010.0,Peter Mikkelsen,Denmark,Gaviria,44,0.0,2.0,Away Win
switzerland,0–2, Colombia,NO,0,Gaviria  44'; Lozano  90',1994-06-26,,Stanford Stadium,Stanford,834010.0,Peter Mikkelsen,Denmark,Lozano,90,0.0,2.0,Away Win
united states,0–1, Romania,NO,0,Petrescu  18',1994-06-26,,Rose Bowl,Pasadena,938690.0,Mario van der Ende,Netherlands,Petrescu,18,0.0,1.0,Away Win
cameroon,2–2, Sweden,NO,Embé  31'; Omam-Biyik  47',Ljung  8'; Dahlin  75',1994-06-19,,Rose Bowl,Pasadena,931940.0,Alberto Tejada Noriega,Peru,Embé,31,2.0,2.0,Draw
cameroon,2–2, Sweden,NO,Embé  31'; Omam-Biyik  47',Ljung  8'; Dahlin  75',1994-06-19,,Rose Bowl,Pasadena,931940.0,Alberto Tejada Noriega,Peru,Omam-Biyik,47,2.0,2.0,Draw
cameroon,2–2, Sweden,NO,Embé  31'; Omam-Biyik  47',Ljung  8'; Dahlin  75',1994-06-19,,Rose Bowl,Pasadena,931940.0,Alberto Tejada Noriega,Peru,Ljung,8,2.0,2.0,Draw
cameroon,2–2, Sweden,NO,Embé  31'; Omam-Biyik  47',Ljung  8'; Dahlin  75',1994-06-19,,Rose Bowl,Pasadena,931940.0,Alberto Tejada Noriega,Peru,Dahlin,75,2.0,2.0,Draw
brazil,2–0, Russia,NO,Romário  26'; Raí  52' (pen.); pen.,0,1994-06-20,,Stanford Stadium,Stanford,810610.0,Lim Kee Chong,Mauritius,Romário,26,2.0,0.0,Home Win
brazil,2–0, Russia,NO,Romário  26'; Raí  52' (pen.); pen.,0,1994-06-20,,Stanford Stadium,Stanford,810610.0,Lim Kee Chong,Mauritius,Raí,52,2.0,0.0,Home Win
brazil,3–0, Cameroon,NO,Romário  39'; Márcio Santos  66'; Bebeto  73',0,1994-06-24,,Stanford Stadium,Stanford,834010.0,Arturo Brizio Carter,Mexico,Romário,39,3.0,0.0,Home Win
brazil,3–0, Cameroon,NO,Romário  39'; Márcio Santos  66'; Bebeto  73',0,1994-06-24,,Stanford Stadium,Stanford,834010.0,Arturo Brizio Carter,Mexico,Márcio Santos,66,3.0,0.0,Home Win
brazil,3–0, Cameroon,NO,Romário  39'; Márcio Santos  66'; Bebeto  73',0,1994-06-24,,Stanford Stadium,Stanford,834010.0,Arturo Brizio Carter,Mexico,Bebeto,73,3.0,0.0,Home Win
